Itm_Code,Month,Function_Description,Opn_Qty,Seq_No,Sal_Qty,Pur_Qty,Bal_Qty
GAB14010 ,1,SHOCK ABSORBER,0,2,0,0,0
GAB14010 ,2,SHOCK ABSORBER,0,2,0,0,0
GAB14010 ,3,SHOCK ABSORBER,0,2,0,0,0
GAB14010 ,4,SHOCK ABSORBER,0,2,0,0,0
GAB14010 ,5,SHOCK ABSORBER,0,2,0,0,0
GAB14010 ,6,SHOCK ABSORBER,0,2,0,0,0
GAB14010 ,7,SHOCK ABSORBER,0,2,0,0,0
GAB14010 ,8,SHOCK ABSORBER,0,2,0,0,0
GAB14010 ,9,SHOCK ABSORBER,0,2,0,0,0
GAB14010 ,10,SHOCK ABSORBER,0,2,0,0,0
GAB14010 ,11,SHOCK ABSORBER,0,2,0,0,0
GAB14010 ,12,SHOCK ABSORBER,0,2,0,0,0
GAB14017 ,1,SHOCK ABSORBER,0,3,0,50,50
GAB14017 ,2,SHOCK ABSORBER,0,3,0,0,50
GAB14017 ,3,SHOCK ABSORBER,0,3,3,0,47
GAB14017 ,4,SHOCK ABSORBER,0,3,0,40,87
GAB14017 ,5,SHOCK ABSORBER,0,3,2,0,85
GAB14017 ,6,SHOCK ABSORBER,0,3,1,10,94
GAB14017 ,7,SHOCK ABSORBER,0,3,1,50,43
GAB14017 ,8,SHOCK ABSORBER,0,3,0,0,43
GAB14017 ,9,SHOCK ABSORBER,0,3,2,0,41
GAB14017 ,10,SHOCK ABSORBER,0,3,3,0,38
GAB14017 ,11,SHOCK ABSORBER,0,3,2,0,36
GAB14017 ,12,SHOCK ABSORBER,0,3,12,0,24
GAB14040 ,1,SHOCK ABSORBER,12,4,1,0,11
GAB14040 ,2,SHOCK ABSORBER,12,4,1,0,10
GAB14040 ,3,SHOCK ABSORBER,12,4,0,0,10
GAB14040 ,4,SHOCK ABSORBER,12,4,2,0,8
GAB14040 ,5,SHOCK ABSORBER,12,4,1,0,7
GAB14040 ,6,SHOCK ABSORBER,12,4,1,0,6
GAB14040 ,7,SHOCK ABSORBER,12,4,1,0,5
GAB14040 ,8,SHOCK ABSORBER,12,4,1,0,4
GAB14040 ,9,SHOCK ABSORBER,12,4,1,0,3
GAB14040 ,10,SHOCK ABSORBER,12,4,0,20,23
