Seq No,Itm Code,Function Description,Opn Qty,Pur Qty 01,Sal Qty 01,Bal Qty 01,Pur Qty 02,Sal Qty 02,Bal Qty 02,Pur Qty 03,Sal Qty 03,Bal Qty 03,Pur Qty 04,Sal Qty 04,Bal Qty 04,Pur Qty 05,Sal Qty 05,Bal Qty 05,Pur Qty 06,Sal Qty 06,Bal Qty 06,Pur Qty 07,Sal Qty 07,Bal Qty 07,Pur Qty 08,Sal Qty 08,Bal Qty 08,Pur Qty 09,Sal Qty 09,Bal Qty 09,Pur Qty 10,Sal Qty 10,Bal Qty 10,Pur Qty 11,Sal Qty 11,Bal Qty 11,Pur Qty 12,Sal Qty 12,Bal Qty 12
1,GAB83155 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,GAB14010 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,GAB14017 ,SHOCK ABSORBER,0,50,0,50,0,0,50,0,3,47,40,0,87,0,2,85,10,1,94,50,1,43,0,0,43,0,2,41,0,3,38,0,2,36,0,12,24
4,GAB14040 ,SHOCK ABSORBER,12,0,1,11,0,1,10,0,0,10,0,2,8,0,1,7,0,1,6,0,1,5,0,1,4,0,1,3,20,0,23,0,1,22,0,1,21
5,GAB14074 ,SHOCK ABSORBER,0,5,0,5,0,1,4,0,0,4,5,0,9,0,0,9,0,1,8,0,0,8,0,1,7,0,1,6,0,3,3,0,2,1,0,0,1
6,GAB14075 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,GAB32041 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,GAB341240 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,GAB42082 ,SHOCK ABSORBER,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,GAB43167 ,SHOCK ABOSRBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,GAB51718 ,SHOCK ABSORBER,65,0,11,54,0,2,52,0,2,50,0,4,46,0,2,44,0,2,42,0,4,38,0,4,34,0,2,32,0,4,28,0,5,23,0,2,21
12,GAB51719 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,GAB51720 ,SHOCK ABSORBER,54,0,8,46,60,0,106,0,2,104,0,4,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,6,94
14,GAB51721 ,SHOCK ABSORBER,19,0,0,19,0,2,17,0,0,17,0,0,17,0,0,17,0,0,17,0,2,15,0,6,9,0,0,9,0,4,5,0,0,5,0,0,5
15,GAB51723 ,SHOCK ABSORBER,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,18
16,GAB51724 ,SHOCK ABSORBER,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3
17,GAB51728 ,SHOCK ABSORBER,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6
18,GAB51729 ,SHOCK ABSORBER,10,0,2,8,30,0,38,0,2,36,0,0,36,0,0,36,0,2,34,0,0,34,0,0,34,0,0,34,0,0,34,0,2,32,0,4,28
19,GAB51778 ,SHOCK ABSORBER,48,0,5,43,0,2,41,0,0,41,0,4,37,0,0,37,0,1,36,0,0,36,0,0,36,0,6,30,0,4,26,0,10,16,0,10,6
20,GAB51860 ,SHOCK ABSORBER,10,0,0,10,40,2,48,0,0,48,0,2,46,0,2,44,0,2,42,0,2,40,0,2,38,0,0,38,0,2,36,0,2,34,0,4,30
21,GAB51861 ,SHOCK ABSORBER,6,0,0,6,60,0,66,0,0,66,0,2,64,0,4,60,0,2,58,0,4,51,0,4,47,0,2,45,0,4,41,0,8,33,0,4,29
22,GAB51870 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,GAB51887 ,SHOCK ABSORBER,110,0,22,88,0,16,72,0,8,64,0,0,64,0,20,44,0,6,38,0,8,30,0,13,17,0,6,11,0,4,7,0,4,3,0,0,3
24,GAB51891 ,SHOCK ABSORBER,166,0,14,152,300,34,418,0,32,386,0,88,298,0,81,217,0,66,151,0,33,118,0,34,84,0,68,16,6,16,6,12,14,4,6,4,6
25,GAB51916 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,2,4,0,2,2
26,GAB51949 ,SHOCK ABSORBER,15,20,6,29,0,6,23,0,3,20,0,2,18,0,4,14,0,6,8,0,2,6,0,4,2,0,0,2,40,0,42,0,6,36,0,4,32
27,GAB51960 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,GAB52025 ,SHOCK ABSORBER,18,0,0,18,0,2,16,0,0,16,0,1,15,0,1,14,0,0,14,0,2,12,0,0,12,0,4,8,0,0,8,0,2,6,0,0,6
29,GAB52028 ,SHOCK ABSORBER,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
30,GAB52029 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
