Part_Code,Month,Stockout,Bal Qty,Sal Qty,Estimated Demand
FDX1L2Z-13008-AA ,2025-06-01,False,4.0,0.0,0.0
FDX1L2Z-13201-AA ,2025-06-01,False,5.0,1.0,0.0
FDX1L2Z-13404-AA ,2025-06-01,False,7.0,0.0,0.0
FDX1L2Z-13405-AA ,2025-06-01,False,4.0,0.0,0.0
FDX1L2Z-3084-AA ,2025-06-01,False,7.0,0.0,1.0
FDX1L2Z-3085-AA ,2025-06-01,False,7.0,0.0,0.0
FDX1L2Z-5K484-AA ,2025-06-01,False,13.0,0.0,1.0
FDX1L2Z-6K297-BA ,2025-06-01,False,6.0,0.0,0.0
FDX1L2Z-8200-AAB ,2025-06-01,False,4.0,0.0,0.0
FDX1R3Z-13008-AC ,2025-06-01,False,10.0,0.0,0.0
FDX1R3Z-13008-AD ,2025-06-01,False,9.0,0.0,0.0
FDX1R3Z-16612-AA ,2025-06-01,False,1.0,0.0,0.0
FDX2C3Z-8A080-AA ,2025-06-01,False,2.0,1.0,0.0
FDX2L1Z-13404-AB ,2025-06-01,False,9.0,0.0,1.0
FDX2L1Z-13405-AB ,2025-06-01,False,7.0,0.0,0.0
FDX2L1Z-16C826-AA ,2025-06-01,False,8.0,2.0,2.0
FDX2L1Z-8200-AAA ,2025-06-01,False,6.0,0.0,0.0
FDX2L1Z-8A284-AA ,2025-06-01,False,6.0,0.0,0.0
FDX2L2Z-3078-AA ,2025-06-01,True,0.0,0.0,0.0
FDX2L2Z-3079-AA ,2025-06-01,False,0.0,1.0,0.0
FDX2W7Z-8A080-AA ,2025-06-01,False,46.0,5.0,3.0
FDX3L2Z-17618-BA ,2025-06-01,False,9.0,0.0,0.0
FDX3L2Z-8A080-AA ,2025-06-01,False,10.0,1.0,1.0
FDX3L3Z-8A080-AB ,2025-06-01,False,5.0,0.0,0.0
FDX3W1Z-17752-AB ,2025-06-01,True,0.0,0.0,0.0
FDX3W1Z-2N712-AA ,2025-06-01,False,85.0,26.0,14.0
FDX3W1Z-3084-AA ,2025-06-01,False,24.0,1.0,2.0
FDX3W1Z-3085-AA ,2025-06-01,False,23.0,0.0,2.0
FDX3W1Z-5K484-AA ,2025-06-01,False,119.0,1.0,4.0
FDX3W1Z-8125-BA ,2025-06-01,True,0.0,0.0,0.0
FDX3W3Z-13008-AA ,2025-06-01,False,50.0,0.0,2.0
FDX3W3Z-13008-AB ,2025-06-01,False,12.0,0.0,0.0
FDX3W3Z-13008-BA ,2025-06-01,False,32.0,0.0,1.0
FDX3W3Z-13200-AA ,2025-06-01,False,50.0,3.0,2.0
FDX3W3Z-13201-AA ,2025-06-01,False,56.0,1.0,3.0
FDX3W3Z-17D957-BA ,2025-06-01,False,72.0,3.0,5.0
FDX3W3Z-8190-AA ,2025-06-01,False,29.0,0.0,1.0
FDX3W3Z-8200-AA ,2025-06-01,False,19.0,0.0,1.0
FDX3W3Z-8200-AA-YCC ,2025-06-01,False,32.0,1.0,3.0
FDX3W3Z-8A223-AA ,2025-06-01,False,1.0,0.0,0.0
FDX3W7Z-17757-AA ,2025-06-01,False,1.0,0.0,0.0
FDX3W7Z-17D957-CA ,2025-06-01,False,136.0,12.0,45.0
FDX3W7Z-8C291-AA ,2025-06-01,False,10.0,2.0,1.0
FDX4F9Z-15200-AA ,2025-06-01,False,12.0,0.0,0.0
FDX4L1Z-13008-AC ,2025-06-01,False,2.0,0.0,0.0
FDX4L1Z-13008-AD ,2025-06-01,False,2.0,0.0,0.0
FDX4L8Z-3078-R ,2025-06-01,False,2.0,0.0,0.0
FDX4L8Z-3079-L ,2025-06-01,False,2.0,0.0,0.0
FDX4R3Z-13008-AA ,2025-06-01,False,5.0,0.0,0.0
FDX4R3Z-13008-AB ,2025-06-01,False,3.0,0.0,0.0
