Month,Part_Code,Inv_data,Value,Brand
Jun-24,FM 10158-020 ,Opn Qty,1,Sheet1
Jun-24,FM 10158-020 ,Pur Qty,0,Sheet1
Jun-24,FM 10158-020 ,Sal Qty,0,Sheet1
Jun-24,FM 10158-020 ,Bal Qty,0,Sheet1
Jul-24,FM 10158-020 ,Pur Qty,0,Sheet1
Jul-24,FM 10158-020 ,Sal Qty,0,Sheet1
Jul-24,FM 10158-020 ,Bal Qty,0,Sheet1
Aug-24,FM 10158-020 ,Pur Qty,0,Sheet1
Aug-24,FM 10158-020 ,Sal Qty,0,Sheet1
Aug-24,FM 10158-020 ,Bal Qty,0,Sheet1
Sep-24,FM 10158-020 ,Pur Qty,0,Sheet1
Sep-24,FM 10158-020 ,Sal Qty,0,Sheet1
Sep-24,FM 10158-020 ,Bal Qty,0,Sheet1
Oct-24,FM 10158-020 ,Pur Qty,0,Sheet1
Oct-24,FM 10158-020 ,Sal Qty,0,Sheet1
Oct-24,FM 10158-020 ,Bal Qty,0,Sheet1
Nov-24,FM 10158-020 ,Pur Qty,0,Sheet1
Nov-24,FM 10158-020 ,Sal Qty,0,Sheet1
Nov-24,FM 10158-020 ,Bal Qty,0,Sheet1
Dec-24,FM 10158-020 ,Pur Qty,0,Sheet1
Dec-24,FM 10158-020 ,Sal Qty,0,Sheet1
Dec-24,FM 10158-020 ,Bal Qty,0,Sheet1
Jan-25,FM 10158-020 ,Pur Qty,0,Sheet1
Jan-25,FM 10158-020 ,Sal Qty,0,Sheet1
Jan-25,FM 10158-020 ,Bal Qty,0,Sheet1
Feb-25,FM 10158-020 ,Pur Qty,0,Sheet1
Feb-25,FM 10158-020 ,Sal Qty,0,Sheet1
Feb-25,FM 10158-020 ,Bal Qty,0,Sheet1
Mar-25,FM 10158-020 ,Pur Qty,0,Sheet1
Mar-25,FM 10158-020 ,Sal Qty,0,Sheet1
Mar-25,FM 10158-020 ,Bal Qty,0,Sheet1
Apr-25,FM 10158-020 ,Pur Qty,0,Sheet1
Apr-25,FM 10158-020 ,Sal Qty,0,Sheet1
Apr-25,FM 10158-020 ,Bal Qty,0,Sheet1
May-25,FM 10158-020 ,Pur Qty,0,Sheet1
May-25,FM 10158-020 ,Sal Qty,0,Sheet1
May-25,FM 10158-020 ,Bal Qty,0,Sheet1
Jun-25,FM 10158-020 ,Pur Qty,0,Sheet1
Jun-25,FM 10158-020 ,Sal Qty,0,Sheet1
Jun-25,FM 10158-020 ,Bal Qty,0,Sheet1
Jun-24,FM 10158-030 ,Opn Qty,4,Sheet1
Jun-24,FM 10158-030 ,Pur Qty,0,Sheet1
Jun-24,FM 10158-030 ,Sal Qty,0,Sheet1
Jun-24,FM 10158-030 ,Bal Qty,0,Sheet1
Jul-24,FM 10158-030 ,Pur Qty,0,Sheet1
Jul-24,FM 10158-030 ,Sal Qty,0,Sheet1
Jul-24,FM 10158-030 ,Bal Qty,0,Sheet1
Aug-24,FM 10158-030 ,Pur Qty,0,Sheet1
Aug-24,FM 10158-030 ,Sal Qty,0,Sheet1
Aug-24,FM 10158-030 ,Bal Qty,0,Sheet1
Sep-24,FM 10158-030 ,Pur Qty,0,Sheet1
Sep-24,FM 10158-030 ,Sal Qty,0,Sheet1
Sep-24,FM 10158-030 ,Bal Qty,0,Sheet1
Oct-24,FM 10158-030 ,Pur Qty,0,Sheet1
Oct-24,FM 10158-030 ,Sal Qty,0,Sheet1
Oct-24,FM 10158-030 ,Bal Qty,0,Sheet1
Nov-24,FM 10158-030 ,Pur Qty,0,Sheet1
Nov-24,FM 10158-030 ,Sal Qty,0,Sheet1
Nov-24,FM 10158-030 ,Bal Qty,0,Sheet1
Dec-24,FM 10158-030 ,Pur Qty,0,Sheet1
Dec-24,FM 10158-030 ,Sal Qty,0,Sheet1
Dec-24,FM 10158-030 ,Bal Qty,0,Sheet1
Jan-25,FM 10158-030 ,Pur Qty,0,Sheet1
Jan-25,FM 10158-030 ,Sal Qty,0,Sheet1
Jan-25,FM 10158-030 ,Bal Qty,0,Sheet1
Feb-25,FM 10158-030 ,Pur Qty,0,Sheet1
Feb-25,FM 10158-030 ,Sal Qty,0,Sheet1
Feb-25,FM 10158-030 ,Bal Qty,0,Sheet1
Mar-25,FM 10158-030 ,Pur Qty,0,Sheet1
Mar-25,FM 10158-030 ,Sal Qty,0,Sheet1
Mar-25,FM 10158-030 ,Bal Qty,0,Sheet1
Apr-25,FM 10158-030 ,Pur Qty,0,Sheet1
Apr-25,FM 10158-030 ,Sal Qty,0,Sheet1
Apr-25,FM 10158-030 ,Bal Qty,0,Sheet1
May-25,FM 10158-030 ,Pur Qty,0,Sheet1
May-25,FM 10158-030 ,Sal Qty,0,Sheet1
May-25,FM 10158-030 ,Bal Qty,0,Sheet1
Jun-25,FM 10158-030 ,Pur Qty,0,Sheet1
Jun-25,FM 10158-030 ,Sal Qty,0,Sheet1
Jun-25,FM 10158-030 ,Bal Qty,0,Sheet1
Jun-24,FM 1020-100 ,Opn Qty,0,Sheet1
Jun-24,FM 1020-100 ,Pur Qty,0,Sheet1
Jun-24,FM 1020-100 ,Sal Qty,0,Sheet1
Jun-24,FM 1020-100 ,Bal Qty,0,Sheet1
Jul-24,FM 1020-100 ,Pur Qty,0,Sheet1
Jul-24,FM 1020-100 ,Sal Qty,0,Sheet1
Jul-24,FM 1020-100 ,Bal Qty,0,Sheet1
Aug-24,FM 1020-100 ,Pur Qty,0,Sheet1
Aug-24,FM 1020-100 ,Sal Qty,0,Sheet1
Aug-24,FM 1020-100 ,Bal Qty,0,Sheet1
Sep-24,FM 1020-100 ,Pur Qty,0,Sheet1
Sep-24,FM 1020-100 ,Sal Qty,0,Sheet1
Sep-24,FM 1020-100 ,Bal Qty,0,Sheet1
Oct-24,FM 1020-100 ,Pur Qty,0,Sheet1
Oct-24,FM 1020-100 ,Sal Qty,0,Sheet1
Oct-24,FM 1020-100 ,Bal Qty,0,Sheet1
Nov-24,FM 1020-100 ,Pur Qty,0,Sheet1
Nov-24,FM 1020-100 ,Sal Qty,0,Sheet1
Nov-24,FM 1020-100 ,Bal Qty,0,Sheet1
Dec-24,FM 1020-100 ,Pur Qty,0,Sheet1
Dec-24,FM 1020-100 ,Sal Qty,0,Sheet1
Dec-24,FM 1020-100 ,Bal Qty,0,Sheet1
Jan-25,FM 1020-100 ,Pur Qty,0,Sheet1
Jan-25,FM 1020-100 ,Sal Qty,0,Sheet1
Jan-25,FM 1020-100 ,Bal Qty,0,Sheet1
Feb-25,FM 1020-100 ,Pur Qty,0,Sheet1
Feb-25,FM 1020-100 ,Sal Qty,0,Sheet1
Feb-25,FM 1020-100 ,Bal Qty,0,Sheet1
Mar-25,FM 1020-100 ,Pur Qty,0,Sheet1
Mar-25,FM 1020-100 ,Sal Qty,0,Sheet1
Mar-25,FM 1020-100 ,Bal Qty,0,Sheet1
Apr-25,FM 1020-100 ,Pur Qty,0,Sheet1
Apr-25,FM 1020-100 ,Sal Qty,0,Sheet1
Apr-25,FM 1020-100 ,Bal Qty,0,Sheet1
May-25,FM 1020-100 ,Pur Qty,0,Sheet1
May-25,FM 1020-100 ,Sal Qty,0,Sheet1
May-25,FM 1020-100 ,Bal Qty,0,Sheet1
Jun-25,FM 1020-100 ,Pur Qty,0,Sheet1
Jun-25,FM 1020-100 ,Sal Qty,0,Sheet1
Jun-25,FM 1020-100 ,Bal Qty,0,Sheet1
Jun-24,FM 1020-25 ,Opn Qty,0,Sheet1
Jun-24,FM 1020-25 ,Pur Qty,0,Sheet1
Jun-24,FM 1020-25 ,Sal Qty,0,Sheet1
Jun-24,FM 1020-25 ,Bal Qty,0,Sheet1
Jul-24,FM 1020-25 ,Pur Qty,0,Sheet1
Jul-24,FM 1020-25 ,Sal Qty,0,Sheet1
Jul-24,FM 1020-25 ,Bal Qty,0,Sheet1
Aug-24,FM 1020-25 ,Pur Qty,0,Sheet1
Aug-24,FM 1020-25 ,Sal Qty,0,Sheet1
Aug-24,FM 1020-25 ,Bal Qty,0,Sheet1
Sep-24,FM 1020-25 ,Pur Qty,0,Sheet1
Sep-24,FM 1020-25 ,Sal Qty,0,Sheet1
Sep-24,FM 1020-25 ,Bal Qty,0,Sheet1
Oct-24,FM 1020-25 ,Pur Qty,0,Sheet1
Oct-24,FM 1020-25 ,Sal Qty,0,Sheet1
Oct-24,FM 1020-25 ,Bal Qty,0,Sheet1
Nov-24,FM 1020-25 ,Pur Qty,0,Sheet1
Nov-24,FM 1020-25 ,Sal Qty,0,Sheet1
Nov-24,FM 1020-25 ,Bal Qty,0,Sheet1
Dec-24,FM 1020-25 ,Pur Qty,0,Sheet1
Dec-24,FM 1020-25 ,Sal Qty,0,Sheet1
Dec-24,FM 1020-25 ,Bal Qty,0,Sheet1
Jan-25,FM 1020-25 ,Pur Qty,0,Sheet1
Jan-25,FM 1020-25 ,Sal Qty,0,Sheet1
Jan-25,FM 1020-25 ,Bal Qty,0,Sheet1
Feb-25,FM 1020-25 ,Pur Qty,15,Sheet1
Feb-25,FM 1020-25 ,Sal Qty,1,Sheet1
Feb-25,FM 1020-25 ,Bal Qty,14,Sheet1
Mar-25,FM 1020-25 ,Pur Qty,0,Sheet1
Mar-25,FM 1020-25 ,Sal Qty,0,Sheet1
Mar-25,FM 1020-25 ,Bal Qty,14,Sheet1
Apr-25,FM 1020-25 ,Pur Qty,0,Sheet1
Apr-25,FM 1020-25 ,Sal Qty,0,Sheet1
Apr-25,FM 1020-25 ,Bal Qty,14,Sheet1
May-25,FM 1020-25 ,Pur Qty,0,Sheet1
May-25,FM 1020-25 ,Sal Qty,0,Sheet1
May-25,FM 1020-25 ,Bal Qty,14,Sheet1
Jun-25,FM 1020-25 ,Pur Qty,0,Sheet1
Jun-25,FM 1020-25 ,Sal Qty,0,Sheet1
Jun-25,FM 1020-25 ,Bal Qty,14,Sheet1
Jun-24,FM 1020-50 ,Opn Qty,0,Sheet1
Jun-24,FM 1020-50 ,Pur Qty,0,Sheet1
Jun-24,FM 1020-50 ,Sal Qty,0,Sheet1
Jun-24,FM 1020-50 ,Bal Qty,0,Sheet1
Jul-24,FM 1020-50 ,Pur Qty,0,Sheet1
Jul-24,FM 1020-50 ,Sal Qty,0,Sheet1
Jul-24,FM 1020-50 ,Bal Qty,0,Sheet1
Aug-24,FM 1020-50 ,Pur Qty,0,Sheet1
Aug-24,FM 1020-50 ,Sal Qty,0,Sheet1
Aug-24,FM 1020-50 ,Bal Qty,0,Sheet1
Sep-24,FM 1020-50 ,Pur Qty,0,Sheet1
Sep-24,FM 1020-50 ,Sal Qty,0,Sheet1
Sep-24,FM 1020-50 ,Bal Qty,0,Sheet1
Oct-24,FM 1020-50 ,Pur Qty,0,Sheet1
Oct-24,FM 1020-50 ,Sal Qty,0,Sheet1
Oct-24,FM 1020-50 ,Bal Qty,0,Sheet1
Nov-24,FM 1020-50 ,Pur Qty,0,Sheet1
Nov-24,FM 1020-50 ,Sal Qty,0,Sheet1
Nov-24,FM 1020-50 ,Bal Qty,0,Sheet1
Dec-24,FM 1020-50 ,Pur Qty,0,Sheet1
Dec-24,FM 1020-50 ,Sal Qty,0,Sheet1
Dec-24,FM 1020-50 ,Bal Qty,0,Sheet1
Jan-25,FM 1020-50 ,Pur Qty,0,Sheet1
Jan-25,FM 1020-50 ,Sal Qty,0,Sheet1
Jan-25,FM 1020-50 ,Bal Qty,0,Sheet1
Feb-25,FM 1020-50 ,Pur Qty,0,Sheet1
Feb-25,FM 1020-50 ,Sal Qty,0,Sheet1
Feb-25,FM 1020-50 ,Bal Qty,0,Sheet1
Mar-25,FM 1020-50 ,Pur Qty,0,Sheet1
Mar-25,FM 1020-50 ,Sal Qty,0,Sheet1
Mar-25,FM 1020-50 ,Bal Qty,0,Sheet1
Apr-25,FM 1020-50 ,Pur Qty,0,Sheet1
Apr-25,FM 1020-50 ,Sal Qty,0,Sheet1
Apr-25,FM 1020-50 ,Bal Qty,0,Sheet1
May-25,FM 1020-50 ,Pur Qty,0,Sheet1
May-25,FM 1020-50 ,Sal Qty,0,Sheet1
May-25,FM 1020-50 ,Bal Qty,0,Sheet1
Jun-25,FM 1020-50 ,Pur Qty,0,Sheet1
Jun-25,FM 1020-50 ,Sal Qty,0,Sheet1
Jun-25,FM 1020-50 ,Bal Qty,0,Sheet1
Jun-24,FM 1020-75 ,Opn Qty,0,Sheet1
Jun-24,FM 1020-75 ,Pur Qty,0,Sheet1
Jun-24,FM 1020-75 ,Sal Qty,0,Sheet1
Jun-24,FM 1020-75 ,Bal Qty,0,Sheet1
Jul-24,FM 1020-75 ,Pur Qty,0,Sheet1
Jul-24,FM 1020-75 ,Sal Qty,0,Sheet1
Jul-24,FM 1020-75 ,Bal Qty,0,Sheet1
Aug-24,FM 1020-75 ,Pur Qty,0,Sheet1
Aug-24,FM 1020-75 ,Sal Qty,0,Sheet1
Aug-24,FM 1020-75 ,Bal Qty,0,Sheet1
Sep-24,FM 1020-75 ,Pur Qty,0,Sheet1
Sep-24,FM 1020-75 ,Sal Qty,0,Sheet1
Sep-24,FM 1020-75 ,Bal Qty,0,Sheet1
Oct-24,FM 1020-75 ,Pur Qty,0,Sheet1
Oct-24,FM 1020-75 ,Sal Qty,0,Sheet1
Oct-24,FM 1020-75 ,Bal Qty,0,Sheet1
Nov-24,FM 1020-75 ,Pur Qty,0,Sheet1
Nov-24,FM 1020-75 ,Sal Qty,0,Sheet1
Nov-24,FM 1020-75 ,Bal Qty,0,Sheet1
Dec-24,FM 1020-75 ,Pur Qty,0,Sheet1
Dec-24,FM 1020-75 ,Sal Qty,0,Sheet1
Dec-24,FM 1020-75 ,Bal Qty,0,Sheet1
Jan-25,FM 1020-75 ,Pur Qty,0,Sheet1
Jan-25,FM 1020-75 ,Sal Qty,0,Sheet1
Jan-25,FM 1020-75 ,Bal Qty,0,Sheet1
Feb-25,FM 1020-75 ,Pur Qty,0,Sheet1
Feb-25,FM 1020-75 ,Sal Qty,0,Sheet1
Feb-25,FM 1020-75 ,Bal Qty,0,Sheet1
Mar-25,FM 1020-75 ,Pur Qty,0,Sheet1
Mar-25,FM 1020-75 ,Sal Qty,0,Sheet1
Mar-25,FM 1020-75 ,Bal Qty,0,Sheet1
Apr-25,FM 1020-75 ,Pur Qty,0,Sheet1
Apr-25,FM 1020-75 ,Sal Qty,0,Sheet1
Apr-25,FM 1020-75 ,Bal Qty,0,Sheet1
May-25,FM 1020-75 ,Pur Qty,0,Sheet1
May-25,FM 1020-75 ,Sal Qty,0,Sheet1
May-25,FM 1020-75 ,Bal Qty,0,Sheet1
Jun-25,FM 1020-75 ,Pur Qty,0,Sheet1
Jun-25,FM 1020-75 ,Sal Qty,0,Sheet1
Jun-25,FM 1020-75 ,Bal Qty,0,Sheet1
Jun-24,FM 1020-STD ,Opn Qty,19,Sheet1
Jun-24,FM 1020-STD ,Pur Qty,0,Sheet1
Jun-24,FM 1020-STD ,Sal Qty,0,Sheet1
Jun-24,FM 1020-STD ,Bal Qty,19,Sheet1
Jul-24,FM 1020-STD ,Pur Qty,0,Sheet1
Jul-24,FM 1020-STD ,Sal Qty,0,Sheet1
Jul-24,FM 1020-STD ,Bal Qty,19,Sheet1
Aug-24,FM 1020-STD ,Pur Qty,0,Sheet1
Aug-24,FM 1020-STD ,Sal Qty,0,Sheet1
Aug-24,FM 1020-STD ,Bal Qty,19,Sheet1
Sep-24,FM 1020-STD ,Pur Qty,0,Sheet1
Sep-24,FM 1020-STD ,Sal Qty,0,Sheet1
Sep-24,FM 1020-STD ,Bal Qty,19,Sheet1
Oct-24,FM 1020-STD ,Pur Qty,0,Sheet1
Oct-24,FM 1020-STD ,Sal Qty,3,Sheet1
Oct-24,FM 1020-STD ,Bal Qty,16,Sheet1
Nov-24,FM 1020-STD ,Pur Qty,0,Sheet1
Nov-24,FM 1020-STD ,Sal Qty,0,Sheet1
Nov-24,FM 1020-STD ,Bal Qty,16,Sheet1
Dec-24,FM 1020-STD ,Pur Qty,0,Sheet1
Dec-24,FM 1020-STD ,Sal Qty,0,Sheet1
Dec-24,FM 1020-STD ,Bal Qty,16,Sheet1
Jan-25,FM 1020-STD ,Pur Qty,0,Sheet1
Jan-25,FM 1020-STD ,Sal Qty,0,Sheet1
Jan-25,FM 1020-STD ,Bal Qty,16,Sheet1
Feb-25,FM 1020-STD ,Pur Qty,0,Sheet1
Feb-25,FM 1020-STD ,Sal Qty,0,Sheet1
Feb-25,FM 1020-STD ,Bal Qty,16,Sheet1
Mar-25,FM 1020-STD ,Pur Qty,0,Sheet1
Mar-25,FM 1020-STD ,Sal Qty,0,Sheet1
Mar-25,FM 1020-STD ,Bal Qty,16,Sheet1
Apr-25,FM 1020-STD ,Pur Qty,0,Sheet1
Apr-25,FM 1020-STD ,Sal Qty,0,Sheet1
Apr-25,FM 1020-STD ,Bal Qty,16,Sheet1
May-25,FM 1020-STD ,Pur Qty,0,Sheet1
May-25,FM 1020-STD ,Sal Qty,0,Sheet1
May-25,FM 1020-STD ,Bal Qty,16,Sheet1
Jun-25,FM 1020-STD ,Pur Qty,0,Sheet1
Jun-25,FM 1020-STD ,Sal Qty,0,Sheet1
Jun-25,FM 1020-STD ,Bal Qty,16,Sheet1
